"","name","price","sex","height","color","location","markings","weight","foaldate","registrations","disciplines","temperament","link"
"3167","",18000,"Gelding","16.3 hands","Bay","Hamilton, Ontario, Canada","","","Jan-05","","Hunter ",1,"http://www.equine.com/horses-for-sale/horse-ad-2742282.html"
"5430","Cracker Jack Image",14000,"Gelding","16.2 hands","Sorrel","Woodward, Oklahoma","overo","","Apr-05","APHA - American Paint Horse Association () PtHA - Pinto Horse Association of America ()","Hunter (Competed or Shown)",4,"http://www.equine.com/horses-for-sale/horse-ad-2885207.html"
"5486","RK TOPSHELFCHAMPAGNE",900,"Stallion","14.3 hands","Pinto","Kingman, Indiana","Sorrel, White, black forelock","","Jun-07","APHA - American Paint Horse Association (911106)","Ranch Horse (Prospect) Breeding (Prospect) Trail Horse (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2884479.html"
"6304","Artifactually",3000,"Gelding","16.3 hands","Bay","Limestone, New York","small star","1200 pounds","May-09","AQHA - American Quarter Horse Association (5213753)","Jumper (Prospect) Hunter Under Saddle (Prospect) English Pleasure (Prospect) Dressage (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2346058.html"
"8098","Smart N Sassy Lena",4000,"Mare","15.0 hands","Sorrel","Sarnia, Ontario, Canada","","","Apr-04","APHA - American Paint Horse Association (785892)","Team Penning (Prospect) Working Cow Horse (Prospect) Reining (Prospect) Reined Cow Horse (Prospect) Brood Mare (Rank Not Applicable)",2,"http://www.equine.com/horses-for-sale/horse-ad-2816048.html"
"7369","DREAMER",9500,"Gelding","14.1 hands","Buckskin","Evensville , Minnesota","tobiano","","Mar-10","","Trail Horse (Rank Not Applicable) Western Pleasure (Show) (Prospect) Halter (Trained) Driving (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2829852.html"
"4272","Sybil",300,"Mare","15.0 hands","Palomino","Cedar Hill, Tennessee","White Blaze","","Jan-12","","",5,"http://www.equine.com/horses-for-sale/horse-ad-2850670.html"
"5461","Gordy",2500,"Gelding","15.2 hands","Chestnut","amberg, Wisconsin","","1100 pounds","May-05","","Trail Horse (Trained) Western Riding (Trained)",4,"http://www.equine.com/horses-for-sale/horse-ad-2885107.html"
"2891","Zoie",1500,"Mare","16.1 hands","Bay","Cresson, Texas","small star","1250 pounds","Jan-94","","Dressage (Competed or Shown) Hunter Under Saddle (Trained) Jumper (Competed or Shown) Trail Horse (Trained) Brood Mare (Rank Not Applicable)",4,"http://www.equine.com/horses-for-sale/horse-ad-2754498.html"
"1568","Cowboy",2900,"Gelding","","Buckskin","Knoxville, Tennessee","","","Mar-06","","Ranch Horse  Calf Roping ",3,"http://www.equine.com/horses-for-sale/horse-ad-2845560.html"
"7385","FrostyOak LaKinzi",1250,"Mare","16.0 hands","Bay","Nescopeck, Pennsylvania","Star, snip and hind socks","1000 pounds","May-12","CBHS ()","Dressage (Prospect) Eventing (Prospect) Hunter (Prospect) Jumper (Prospect) Hunter Under Saddle (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2829803.html"
"3484","Princess Lilly",0,"Mare","14.1 hands","Bay","Hamilton, Ohio","White star on head","","Jan-98","USEA (127444)","Eventing (Competed or Shown) Dressage (Competed or Shown) Hunter (Competed or Shown) Jumper (Competed or Shown) Youth/4-H Horse (Trained)",5,"http://www.equine.com/horses-for-sale/horse-ad-2697512.html"
"7501","Boone",1200,"Gelding","15.3 hands","Bay","Brillion, Wisconsin","","","Jan-00","","Trail Horse (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2827087.html"
"3081","Beau",1250,"Gelding","15.1 hands","Buckskin","Sterling, Connecticut","","1000 pounds","Mar-05","AQHA - American Quarter Horse Association (4649863) American Buckskin Registry Associateion (P-17832)","Country Pleasure  English Pleasure (Competed or Shown) Western Pleasure (Competed or Shown) Trail Horse ",1,"http://www.equine.com/horses-for-sale/horse-ad-2746471.html"
"7017","",4800,"Mare","16.2 hands","Bay","Fall City, Washington","","1200 pounds","May-08","","Beginner/Family (Prospect) Dressage (Prospect) Trail Horse (Trained) Vaulting (Prospect) English Pleasure (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2838348.html"
"5971","Reata Laveaux",2000,"Mare","15.0 hands","Bay","Vinton, Louisiana","","","Apr-01","AQHA - American Quarter Horse Association (4078068)","Brood Mare  Racing ",4,"http://www.equine.com/horses-for-sale/horse-ad-2875202.html"
"3766","Picture Perfect",7500,"Gelding","16.0 hands","Bay","Clarksburg, Maryland","Irregular blaze, three socks","1000 pounds","May-11","KWPN - Dutch Warmblood Studbook in North America (840025 201100321)","Eventing (Prospect) Jumper (Prospect) Hunter (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2879932.html"
"3099","Champlain Bella",7500,"Mare","","Grey","wayland, Massachusetts","","","Apr-07","","Hunter (Trained) Beginner/Family (Prospect) Field Hunter (Trained) Dressage (Trained) Equitation (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2696701.html"
"7728","Only the best is left!",750,"Mare","","Other","Chesapeake, Virginia","","","Jan-13","AQHA - American Quarter Horse Association () NFQHA - National Foundation Quarter Horse Association ()","Brood Mare (Rank Not Applicable) Breeding (Rank Not Applicable)",1,"http://www.equine.com/horses-for-sale/horse-ad-2822133.html"
